_id,code_snippets,constraint,description.description_img_source,description.description_text,examples,kebabCaseName,name
63b594f68ad4593d6b7b01d6,"[{""lang"":""Python3"",""langSlug"":""python3"",""code"":""class Solution:\n    def twoSum(self, numbers: List[int], target: int) -> List[int]:\n        ""},{""lang"":""JavaScript"",""langSlug"":""javascript"",""code"":""/**\n * @param {number[]} numbers\n * @param {number} target\n * @return {number[]}\n */\nvar twoSum = function(numbers, target) {\n    \n};""}]","

2 <= numbers.length <= 3 * 104
-1000 <= numbers[i] <= 1000
numbers is sorted in non-decreasing order.
-1000 <= target <= 1000
The tests are generated such that there is exactly one solution.

",null,"Given a 1-indexed array of integers numbers that is already sorted in non-decreasing order, find two numbers such that they add up to a specific target number. Let these two numbers be numbers[index1] and numbers[index2] where 1 <= index1 < index2 <= numbers.length.
Return the indices of the two numbers, index1 and index2, added by one as an integer array [index1, index2] of length 2.
The tests are generated such that there is exactly one solution. You may not use the same element twice.
Your solution must use only constant extra space.
 
","[{""example_text"":""\nInput: numbers = [2,7,11,15], target = 9\nOutput: [1,2]\nExplanation: The sum of 2 and 7 is 9. Therefore, index1 = 1, index2 = 2. We return [1, 2].\n"",""example_img_source"":null},{""example_text"":""\nInput: numbers = [2,3,4], target = 6\nOutput: [1,3]\nExplanation: The sum of 2 and 4 is 6. Therefore index1 = 1, index2 = 3. We return [1, 3].\n"",""example_img_source"":null},{""example_text"":""\nInput: numbers = [-1,0], target = -1\nOutput: [1,2]\nExplanation: The sum of -1 and 0 is -1. Therefore index1 = 1, index2 = 2. We return [1, 2].\n"",""example_img_source"":null}]",two-sum-ii-input-array-is-sorted,Two Sum Ii Input Array Is Sorted
63b594f68ad4593d6b7b01d7,"[{""lang"":""Python3"",""langSlug"":""python3"",""code"":""class Solution:\n    def threeSum(self, nums: List[int]) -> List[List[int]]:\n        ""},{""lang"":""JavaScript"",""langSlug"":""javascript"",""code"":""/**\n * @param {number[]} nums\n * @return {number[][]}\n */\nvar threeSum = function(nums) {\n    \n};""}]","

3 <= nums.length <= 3000
-105 <= nums[i] <= 105

",null,"Given an integer array nums, return all the triplets [nums[i], nums[j], nums[k]] such that i != j, i != k, and j != k, and nums[i] + nums[j] + nums[k] == 0.
Notice that the solution set must not contain duplicate triplets.
 
","[{""example_text"":""\nInput: nums = [-1,0,1,2,-1,-4]\nOutput: [[-1,-1,2],[-1,0,1]]\nExplanation: \nnums[0] + nums[1] + nums[2] = (-1) + 0 + 1 = 0.\nnums[1] + nums[2] + nums[4] = 0 + 1 + (-1) = 0.\nnums[0] + nums[3] + nums[4] = (-1) + 2 + (-1) = 0.\nThe distinct triplets are [-1,0,1] and [-1,-1,2].\nNotice that the order of the output and the order of the triplets does not matter.\n"",""example_img_source"":null},{""example_text"":""\nInput: nums = [0,1,1]\nOutput: []\nExplanation: The only possible triplet does not sum up to 0.\n"",""example_img_source"":null},{""example_text"":""\nInput: nums = [0,0,0]\nOutput: [[0,0,0]]\nExplanation: The only possible triplet sums up to 0.\n"",""example_img_source"":null}]",3sum,3 Sum
63b594f78ad4593d6b7b01d8,"[{""lang"":""Python3"",""langSlug"":""python3"",""code"":""class Solution:\n    def maxArea(self, height: List[int]) -> int:\n        ""},{""lang"":""JavaScript"",""langSlug"":""javascript"",""code"":""/**\n * @param {number[]} height\n * @return {number}\n */\nvar maxArea = function(height) {\n    \n};""}]","

n == height.length
2 <= n <= 105
0 <= height[i] <= 104

",null,"You are given an integer array height of length n. There are n vertical lines drawn such that the two endpoints of the ith line are (i, 0) and (i, height[i]).
Find two lines that together with the x-axis form a container, such that the container contains the most water.
Return the maximum amount of water a container can store.
Notice that you may not slant the container.
 
","[{""example_text"":""\nInput: height = [1,8,6,2,5,4,8,3,7]\nOutput: 49\nExplanation: The above vertical lines are represented by array [1,8,6,2,5,4,8,3,7]. In this case, the max area of water (blue section) the container can contain is 49.\n"",""example_img_source"":""https://s3-lc-upload.s3.amazonaws.com/uploads/2018/07/17/question_11.jpg""},{""example_text"":""\nInput: height = [1,1]\nOutput: 1\n"",""example_img_source"":null}]",container-with-most-water,Container With Most Water
63b594f88ad4593d6b7b01d9,"[{""lang"":""Python3"",""langSlug"":""python3"",""code"":""class Solution:\n    def trap(self, height: List[int]) -> int:\n        ""},{""lang"":""JavaScript"",""langSlug"":""javascript"",""code"":""/**\n * @param {number[]} height\n * @return {number}\n */\nvar trap = function(height) {\n    \n};""}]","

n == height.length
1 <= n <= 2 * 104
0 <= height[i] <= 105

",null,"Given n non-negative integers representing an elevation map where the width of each bar is 1, compute how much water it can trap after raining.
 
","[{""example_text"":""\nInput: height = [0,1,0,2,1,0,1,3,2,1,2,1]\nOutput: 6\nExplanation: The above elevation map (black section) is represented by array [0,1,0,2,1,0,1,3,2,1,2,1]. In this case, 6 units of rain water (blue section) are being trapped.\n"",""example_img_source"":""https://assets.leetcode.com/uploads/2018/10/22/rainwatertrap.png""},{""example_text"":""\nInput: height = [4,2,0,3,2,5]\nOutput: 9\n"",""example_img_source"":null}]",trapping-rain-water,Trapping Rain Water
63b594fa8ad4593d6b7b01da,"[{""lang"":""Python3"",""langSlug"":""python3"",""code"":""class Solution:\n    def maxProfit(self, prices: List[int]) -> int:\n        ""},{""lang"":""JavaScript"",""langSlug"":""javascript"",""code"":""/**\n * @param {number[]} prices\n * @return {number}\n */\nvar maxProfit = function(prices) {\n    \n};""}]","

1 <= prices.length <= 105
0 <= prices[i] <= 104

",null,"You are given an array prices where prices[i] is the price of a given stock on the ith day.
You want to maximize your profit by choosing a single day to buy one stock and choosing a different day in the future to sell that stock.
Return the maximum profit you can achieve from this transaction. If you cannot achieve any profit, return 0.
 
","[{""example_text"":""\nInput: prices = [7,1,5,3,6,4]\nOutput: 5\nExplanation: Buy on day 2 (price = 1) and sell on day 5 (price = 6), profit = 6-1 = 5.\nNote that buying on day 2 and selling on day 1 is not allowed because you must buy before you sell.\n"",""example_img_source"":null},{""example_text"":""\nInput: prices = [7,6,4,3,1]\nOutput: 0\nExplanation: In this case, no transactions are done and the max profit = 0.\n"",""example_img_source"":null}]",best-time-to-buy-and-sell-stock,Best Time To Buy And Sell Stock
63b594fa8ad4593d6b7b01db,"[{""lang"":""Python3"",""langSlug"":""python3"",""code"":""class Solution:\n    def lengthOfLongestSubstring(self, s: str) -> int:\n        ""},{""lang"":""JavaScript"",""langSlug"":""javascript"",""code"":""/**\n * @param {string} s\n * @return {number}\n */\nvar lengthOfLongestSubstring = function(s) {\n    \n};""}]","

0 <= s.length <= 5 * 104
s consists of English letters, digits, symbols and spaces.

",null,"Given a string s, find the length of the longest substring without repeating characters.
 
","[{""example_text"":""\nInput: s = \""abcabcbb\""\nOutput: 3\nExplanation: The answer is \""abc\"", with the length of 3.\n"",""example_img_source"":null},{""example_text"":""\nInput: s = \""bbbbb\""\nOutput: 1\nExplanation: The answer is \""b\"", with the length of 1.\n"",""example_img_source"":null},{""example_text"":""\nInput: s = \""pwwkew\""\nOutput: 3\nExplanation: The answer is \""wke\"", with the length of 3.\nNotice that the answer must be a substring, \""pwke\"" is a subsequence and not a substring.\n"",""example_img_source"":null}]",longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters
63b594fb8ad4593d6b7b01dc,"[{""lang"":""Python3"",""langSlug"":""python3"",""code"":""class Solution:\n    def characterReplacement(self, s: str, k: int) -> int:\n        ""},{""lang"":""JavaScript"",""langSlug"":""javascript"",""code"":""/**\n * @param {string} s\n * @param {number} k\n * @return {number}\n */\nvar characterReplacement = function(s, k) {\n    \n};""}]","

1 <= s.length <= 105
s consists of only uppercase English letters.
0 <= k <= s.length

",null,"You are given a string s and an integer k. You can choose any character of the string and change it to any other uppercase English character. You can perform this operation at most k times.
Return the length of the longest substring containing the same letter you can get after performing the above operations.
 
","[{""example_text"":""\nInput: s = \""ABAB\"", k = 2\nOutput: 4\nExplanation: Replace the two 'A's with two 'B's or vice versa.\n"",""example_img_source"":null},{""example_text"":""\nInput: s = \""AABABBA\"", k = 1\nOutput: 4\nExplanation: Replace the one 'A' in the middle with 'B' and form \""AABBBBA\"".\nThe substring \""BBBB\"" has the longest repeating letters, which is 4.\n"",""example_img_source"":null}]",longest-repeating-character-replacement,Longest Repeating Character Replacement
63b594fc8ad4593d6b7b01dd,"[{""lang"":""Python3"",""langSlug"":""python3"",""code"":""class Solution:\n    def checkInclusion(self, s1: str, s2: str) -> bool:\n        ""},{""lang"":""JavaScript"",""langSlug"":""javascript"",""code"":""/**\n * @param {string} s1\n * @param {string} s2\n * @return {boolean}\n */\nvar checkInclusion = function(s1, s2) {\n    \n};""}]","

1 <= s1.length, s2.length <= 104
s1 and s2 consist of lowercase English letters.

",null,"Given two strings s1 and s2, return true if s2 contains a permutation of s1, or false otherwise.
In other words, return true if one of s1's permutations is the substring of s2.
 
","[{""example_text"":""\nInput: s1 = \""ab\"", s2 = \""eidbaooo\""\nOutput: true\nExplanation: s2 contains one permutation of s1 (\""ba\"").\n"",""example_img_source"":null},{""example_text"":""\nInput: s1 = \""ab\"", s2 = \""eidboaoo\""\nOutput: false\n"",""example_img_source"":null}]",permutation-in-string,Permutation In String
63b594fe8ad4593d6b7b01de,"[{""lang"":""Python3"",""langSlug"":""python3"",""code"":""class Solution:\n    def minWindow(self, s: str, t: str) -> str:\n        ""},{""lang"":""JavaScript"",""langSlug"":""javascript"",""code"":""/**\n * @param {string} s\n * @param {string} t\n * @return {string}\n */\nvar minWindow = function(s, t) {\n    \n};""}]","

m == s.length
n == t.length
1 <= m, n <= 105
s and t consist of uppercase and lowercase English letters.

 
Follow up: Could you find an algorithm that runs in O(m + n) time?
",null,"Given two strings s and t of lengths m and n respectively, return the minimum window substring of s such that every character in t (including duplicates) is included in the window. If there is no such substring, return the empty string """".
The testcases will be generated such that the answer is unique.
 
","[{""example_text"":""\nInput: s = \""ADOBECODEBANC\"", t = \""ABC\""\nOutput: \""BANC\""\nExplanation: The minimum window substring \""BANC\"" includes 'A', 'B', and 'C' from string t.\n"",""example_img_source"":null},{""example_text"":""\nInput: s = \""a\"", t = \""a\""\nOutput: \""a\""\nExplanation: The entire string s is the minimum window.\n"",""example_img_source"":null},{""example_text"":""\nInput: s = \""a\"", t = \""aa\""\nOutput: \""\""\nExplanation: Both 'a's from t must be included in the window.\nSince the largest window of s only has one 'a', return empty string.\n"",""example_img_source"":null}]",minimum-window-substring,Minimum Window Substring
63b594ff8ad4593d6b7b01df,"[{""lang"":""Python3"",""langSlug"":""python3"",""code"":""class Solution:\n    def maxSlidingWindow(self, nums: List[int], k: int) -> List[int]:\n        ""},{""lang"":""JavaScript"",""langSlug"":""javascript"",""code"":""/**\n * @param {number[]} nums\n * @param {number} k\n * @return {number[]}\n */\nvar maxSlidingWindow = function(nums, k) {\n    \n};""}]","

1 <= nums.length <= 105
-104 <= nums[i] <= 104
1 <= k <= nums.length

",null,"You are given an array of integers nums, there is a sliding window of size k which is moving from the very left of the array to the very right. You can only see the k numbers in the window. Each time the sliding window moves right by one position.
Return the max sliding window.
 
","[{""example_text"":""\nInput: nums = [1,3,-1,-3,5,3,6,7], k = 3\nOutput: [3,3,5,5,6,7]\nExplanation: \nWindow position                Max\n---------------               -----\n[1  3  -1] -3  5  3  6  7       3\n 1 [3  -1  -3] 5  3  6  7       3\n 1  3 [-1  -3  5] 3  6  7       5\n 1  3  -1 [-3  5  3] 6  7       5\n 1  3  -1  -3 [5  3  6] 7       6\n 1  3  -1  -3  5 [3  6  7]      7\n"",""example_img_source"":null},{""example_text"":""\nInput: nums = [1], k = 1\nOutput: [1]\n"",""example_img_source"":null}]",sliding-window-maximum,Sliding Window Maximum
63b595008ad4593d6b7b01e0,"[{""lang"":""Python3"",""langSlug"":""python3"",""code"":""class Solution:\n    def isValid(self, s: str) -> bool:\n        ""},{""lang"":""JavaScript"",""langSlug"":""javascript"",""code"":""/**\n * @param {string} s\n * @return {boolean}\n */\nvar isValid = function(s) {\n    \n};""}]","

1 <= s.length <= 104
s consists of parentheses only '()[]{}'.

",null,"Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid.
An input string is valid if:

Open brackets must be closed by the same type of brackets.
Open brackets must be closed in the correct order.
Every close bracket has a corresponding open bracket of the same type.

 
","[{""example_text"":""\nInput: s = \""()\""\nOutput: true\n"",""example_img_source"":null},{""example_text"":""\nInput: s = \""()[]{}\""\nOutput: true\n"",""example_img_source"":null},{""example_text"":""\nInput: s = \""(]\""\nOutput: false\n"",""example_img_source"":null}]",valid-parentheses,Valid Parentheses
63b595018ad4593d6b7b01e1,"[{""lang"":""Python3"",""langSlug"":""python3"",""code"":""class MinStack:\n\n    def __init__(self):\n        \n\n    def push(self, val: int) -> None:\n        \n\n    def pop(self) -> None:\n        \n\n    def top(self) -> int:\n        \n\n    def getMin(self) -> int:\n        \n\n\n# Your MinStack object will be instantiated and called as such:\n# obj = MinStack()\n# obj.push(val)\n# obj.pop()\n# param_3 = obj.top()\n# param_4 = obj.getMin()""},{""lang"":""JavaScript"",""langSlug"":""javascript"",""code"":""\nvar MinStack = function() {\n    \n};\n\n/** \n * @param {number} val\n * @return {void}\n */\nMinStack.prototype.push = function(val) {\n    \n};\n\n/**\n * @return {void}\n */\nMinStack.prototype.pop = function() {\n    \n};\n\n/**\n * @return {number}\n */\nMinStack.prototype.top = function() {\n    \n};\n\n/**\n * @return {number}\n */\nMinStack.prototype.getMin = function() {\n    \n};\n\n/** \n * Your MinStack object will be instantiated and called as such:\n * var obj = new MinStack()\n * obj.push(val)\n * obj.pop()\n * var param_3 = obj.top()\n * var param_4 = obj.getMin()\n */""}]","

-231 <= val <= 231 - 1
Methods pop, top and getMin operations will always be called on non-empty stacks.
At most 3 * 104 calls will be made to push, pop, top, and getMin.

",null,"Design a stack that supports push, pop, top, and retrieving the minimum element in constant time.
Implement the MinStack class:

MinStack() initializes the stack object.
void push(int val) pushes the element val onto the stack.
void pop() removes the element on the top of the stack.
int top() gets the top element of the stack.
int getMin() retrieves the minimum element in the stack.

You must implement a solution with O(1) time complexity for each function.
 
","[{""example_text"":""\nInput\n[\""MinStack\"",\""push\"",\""push\"",\""push\"",\""getMin\"",\""pop\"",\""top\"",\""getMin\""]\n[[],[-2],[0],[-3],[],[],[],[]]\n\nOutput\n[null,null,null,null,-3,null,0,-2]\n\nExplanation\nMinStack minStack = new MinStack();\nminStack.push(-2);\nminStack.push(0);\nminStack.push(-3);\nminStack.getMin(); // return -3\nminStack.pop();\nminStack.top();    // return 0\nminStack.getMin(); // return -2\n"",""example_img_source"":null}]",min-stack,Min Stack
